mp-7, S
mp-11, As
mp-14, Se
mp-19, Te
mp-48, C
mp-67, Sc
mp-74, Rh
mp-79, Zn
mp-84, Sn
mp-85, In
mp-87, Be
mp-104, Sb
mp-137, Ge
mp-146, V
mp-147, Se
mp-157, P
mp-168, Si
mp-182, SrGa2
mp-226, FeS2
mp-236, SN
mp-242, SrB6
mp-260, CrB
mp-266, Zr2Pd
mp-274, Nb5Sb4
mp-303, BaZn5
mp-313, YC2
mp-322, TlS
mp-328, Zr2Ni
mp-335, BaGa4
mp-336, SmCo2
mp-349, Yb3Si5
mp-350, Zr5Te4
mp-351, SiNi
mp-352, HfO2
mp-361, Cu2O
mp-362, Ni3S2
mp-363, NbGe2
mp-381, SiRu
mp-389, SiPd
mp-390, TiO2
mp-395, ZrAl3
mp-398, ErGa3
mp-402, CdP2
mp-408, Mg2Ge
mp-411, ErCo3
mp-423, GePd2
mp-427, FeAs
mp-434, SrAu2
mp-443, CaAu2
mp-445, NdCo2
mp-454, NaGa4
mp-458, Ti2O3
mp-484, Te3As2
mp-499, AgO
mp-501, TaSe2
mp-504, CuS
mp-517, TaSi2
mp-535, Fe4N
mp-537, ErCo2
mp-538, CaAg
mp-544, Ti3Ir
mp-551, BaAl2
mp-555, Fe8N
mp-556, ZrNi
mp-557, TeO2
mp-559, YPd3
mp-566, CeP5
mp-568, TiSb2
mp-578, GaAg2
mp-583, CoAs
mp-590, NiAs
mp-609, CrSn2
mp-611, Ag3Sn
mp-613, Te2Pd3
mp-631, TiC
mp-633, LaSn3
mp-634, HgS
mp-638, SrZn5
mp-657, YbZn2
mp-665, SnSe2
mp-666, UTe2
mp-677, SrCd2
mp-691, SnSe
mp-696, SiPt
mp-700, GeSe
mp-706, HgF
mp-712, YCu
mp-714, SrSn4
mp-717, B2O3
mp-720, TlF
mp-729, Cr3Si
mp-739, TiP
mp-740, NdTe3
mp-741, HfO2
mp-755, CoSb2
mp-759, La2Sb
mp-763, MgB2
mp-767, Yb3Ge5
mp-774, CaNi5
mp-778, Fe2P
mp-810, NiSb
mp-818, SiRh
mp-820, HgSe
mp-825, RuO2
mp-865, CaB6
mp-869, TaAl3
mp-870, TlN3
mp-871, FeSi
mp-888, CaAs
mp-889, Cr3B4
mp-910, NbC
mp-917, CaC2
mp-938, GeTe
mp-953, NbZn3
mp-954, BaB6
mp-960, B2Mo
mp-963, ZrO2
mp-966, NbS2
mp-978, Sr2Sn
mp-984, BN
mp-995, EuIr2
mp-996, OsO2
mp-998, Al2Cu
mp-1001, BaN2
mp-1005, FeP
mp-1014, ZrMn2
mp-1017, Zr3O
mp-1028, V3Te4
mp-1038, MgCu2
mp-1046, NbSn2
mp-1047, Ca3N2
mp-1048, TiNi
mp-1049, SrAs
mp-1051, ErNi3
mp-1057, Al3Ni2
mp-1058, PdF2
mp-1068, CuS2
mp-1077, B2Ru
mp-1078, CaCd2
mp-1081, V3S4
mp-1084, ZrB12
mp-1086, TaC
mp-1090, FeSe
mp-1114, VP
mp-1123, HgS
mp-1124, MgZn2
mp-1128, SiIr
mp-1145, TiB2
mp-1146, ThS2
mp-1168, HfTe5
mp-1170, SnS2
mp-1201, Sb2Te3
mp-1209, RbAu5
mp-1219, BaGa2
mp-1224, HgO
mp-1229, CuF2
mp-1237, UGe2
mp-1241, BaAg2
mp-1245, Sr2N
mp-1275, SiMo3
mp-1282, VC
mp-1298, KAu5
mp-1301, Yb2S3
mp-1320, CeSe2
mp-1329, LaTe2
mp-1334, Y2C
mp-1337, MoAs2
mp-1341, Te2Rh3
mp-1352, ZrN
mp-1356, Sb2Pd
mp-1364, YNi
mp-1378, LiC
mp-1380, Zn3Ru
mp-1391, Ag2F
mp-1399, AlAu
mp-1411, TaS2
mp-1429, SmCo5
mp-1431, MnSi
mp-1434, MoS2
mp-1439, TiO2
mp-1444, CaCd2
mp-1455, MnS2
mp-1474, Re3P4
mp-1475, Be12Mo
mp-1483, SiRh
mp-1515, ZrSi2
mp-1523, ZrP2
